keycodeid,keyword,ProductCode,ProductName,synonymId,synonymkeyword
691,papad,3296,Food And Beverage Items,NULL,NULL
702,Yeast,3296,Food And Beverage Items,NULL,NULL
703,Baking powder,10125,Pulse & spices,NULL,NULL
705,Absolute Alcohol,3840,Chemical,NULL,NULL
706,Alcohol,3906,Liquor,NULL,NULL
711,Liquor,3906,Liquor,NULL,NULL
713,Rum,3906,Liquor,NULL,NULL
715,Vodka,3906,Liquor,NULL,NULL
716,Whisky,3906,Liquor,NULL,NULL
728,Beer,3906,Liquor,NULL,NULL
732,Mineral water,3296,Food And Beverage Items,NULL,NULL
735,Ice,3296,Food And Beverage Items,NULL,NULL
738,Cold Drink,3906,Liquor,NULL,NULL
740,Chocolate milk,3423,Milk Product,NULL,NULL
745,Tobacco,3337,Food Grain,NULL,NULL
749,Woven fabric,4408,Fabric,NULL,NULL
754,Canvas,4142,Canvas,NULL,NULL
756,Poplin,4142,Canvas,NULL,NULL
757,Webbing,6154,Textile Product,NULL,NULL
758,Webbing strap,6154,Textile Product,NULL,NULL
761,Linen,3775,Linen Item,NULL,NULL
765,Upholstery fabric,4408,Fabric,NULL,NULL
768,Knitted fabric,4408,Fabric,NULL,NULL
773,Non woven fabric,4408,Fabric,NULL,NULL
777,Bed linen,3775,Linen Item,NULL,NULL
784,Table linen,3775,Linen Item,NULL,NULL
788,Kitchen Linen,3775,Linen Item,NULL,NULL
803,Soft furnishing,798,Furniture,NULL,NULL
806,Hospital linen,3775,Linen Item,NULL,NULL
836,Cleaning cloth,2061,Cloth,NULL,NULL
847,Rope,946,Rope,NULL,NULL
848,Cordage,946,Rope,NULL,NULL
849,String,6113,Yarn,NULL,NULL
850,Twine,6113,Yarn,NULL,NULL
855,Lace,6154,Textile Product,NULL,NULL
857,Ribbon,6154,Textile Product,NULL,NULL
864,Epaulettes,6154,Textile Product,NULL,NULL
866,Felt,2061,Cloth,NULL,NULL
868,Metallised yarn,6113,Yarn,NULL,NULL
872,Textile hosepiping,438,Hose,NULL,NULL
874,Ventilation ducting,10036,Ventilation and Ventilator,NULL,NULL
876,Hosiery,6154,Textile Product,NULL,NULL
879,Socks,2792,Sock,NULL,NULL
888,Silk thread,6113,Yarn,NULL,NULL
889,Silk yarn,6113,Yarn,NULL,NULL
906,Textile scrap,10122,textile scrap,NULL,NULL
908,Apron,6154,Textile Product,NULL,NULL
910,Medical clothing,2061,Cloth,NULL,NULL
921,Safety clothing,2061,Cloth,NULL,NULL
922,bullet proof jacket,5259,Bullet Proof Jacket,NULL,NULL
923,Bulletproof jacket,5259,Bullet Proof Jacket,NULL,NULL
925,Safety jacket,5259,Bullet Proof Jacket,NULL,NULL
936,Combat uniform,2061,Cloth,12010,Uniform cloth
936,Combat uniform,2061,Cloth,12017,UniformSport Uniform
936,Combat uniform,2061,Cloth,12024,Sports Uniform
944,Work wear,6154,Textile Product,NULL,NULL
949,Protective gear,1275,Protection Kit,NULL,NULL
957,Weatherproof clothing,2061,Cloth,NULL,NULL
970,Dresses,6154,Textile Product,NULL,NULL
972,Shorts,2061,Cloth,NULL,NULL
975,Underwear,2061,Cloth,NULL,NULL
976,Slips,5921,Stationery,NULL,NULL
978,Panties,2061,Cloth,NULL,NULL
1001,Tracksuits,6154,Textile Product,NULL,NULL
1006,Scarves,6154,Textile Product,NULL,NULL
1008,Gloves,3671,Gloves,NULL,NULL
1012,Headgear,1275,Protection Kit,NULL,NULL
1013,Head band,6154,Textile Product,NULL,NULL
1021,Visor,1275,Protection Kit,NULL,NULL
1029,Leather gloves,1396,Leather,NULL,NULL
1041,Leather,1396,Leather,NULL,NULL
1049,Leather scrap,10122,textile scrap,NULL,NULL
1052,Saddlery,2637,Metal Products,NULL,NULL
1069,Footwear,4763,Footwear,NULL,NULL
1070,Shoes,4763,Footwear,NULL,NULL
1088,Protective footwear,4763,Footwear,NULL,NULL
1089,Special footwear,4763,Footwear,NULL,NULL
1097,Hardwood,2646,Wood,NULL,NULL
1098,Parquet,6145,Wooden Product,NULL,NULL
1101,Sawdust,2646,Wood,NULL,NULL
1102,Plywood,251,Plywood,NULL,NULL
1103,Formica,251,Plywood,NULL,NULL
1104,Laminated Wood,251,Plywood,NULL,NULL
1105,Sunmica,251,Plywood,NULL,NULL
1106,Particle Board,915,Board,NULL,NULL
1138,Pulp,1771,Paper,NULL,NULL
1139,Wood pulp,2646,Wood,NULL,NULL
1142,Newsprint,1771,Paper,NULL,NULL
1145,Paper board,915,Board,NULL,NULL
1149,Thermal paper,5921,Stationery,19593,thermal paper
1152,Toilet paper,3988,Paper Product,NULL,NULL
1153,Toilet tissue,3988,Paper Product,NULL,NULL
1160,Tracing paper,1771,Paper,NULL,NULL
1164,Art paper,3988,Paper Product,NULL,NULL
1165,Craft paper,1771,Paper,NULL,NULL
1166,Drawing paper,5921,Stationery,NULL,NULL
1171,Writing paper,1771,Paper,NULL,NULL
1172,Printing Paper,5921,Stationery,NULL,NULL
1173,copy paper,1771,Paper,NULL,NULL
1181,Photocopier Paper,5921,Stationery,NULL,NULL
1182,Photocopy paper,1771,Paper,NULL,NULL
1183,Xerographic paper,1771,Paper,NULL,NULL
1184,Xerox paper,5921,Stationery,NULL,NULL
